,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps
80,1,31,14,17,17.97,11,4,7,14.09,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,0.0,0.0,0.0,0.0
81,2,35,14,21,17.91,13,4,9,13.15,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,0.0,0.0,0.0,0.0
82,3,35,16,19,17.4,11,4,7,11.73,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,0.0,0.0,0.0,0.0
83,4,38,16,22,19.16,12,3,9,11.75,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,0.0,0.0,0.0,0.0
84,5,33,16,17,17.7,9,3,6,11.89,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,0.0,0.0,0.0,0.0
85,6,34,16,18,17.94,13,4,9,14.92,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,0.0,0.0,0.0,0.0
86,7,33,16,17,18.73,9,3,6,12.22,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,0.0,0.0,0.0,0.0
87,8,36,16,20,19.86,8,2,6,13.25,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,0.0,0.0,0.0,0.0
88,9,32,14,18,19.62,11,3,8,16.45,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,0.0,0.0,0.0,0.0
89,10,34,14,20,18.15,8,2,6,13.0,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,0.0,0.0,0.0,0.0
90,11,34,16,18,19.38,9,3,6,17.56,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,0.0,0.0,0.0,0.0
91,12,35,14,21,21.11,9,3,6,11.78,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,0.0,0.0,0.0,0.0
92,13,32,15,17,17.5,12,3,9,11.17,0,0,0,0,14,25000000,51,5,3000,25000000,9.91e-05,5000000,0.0,0.0,0.0,0.0
